search_id,audit_date,data_family,search_terms_or_strategy,sources_searched,result,qualifying_primary_sources,unresolved_or_negative_finding,next_action
N001,2026-07-23,all,Consensus paper search: monoethanolamine water VLE; experimental VLE; NMR speciation,Consensus API,Three API calls returned ClientResponseError; no Consensus paper-detail records were available.,0 via Consensus API,Consensus-specific paper URLs could not be generated without inventing them.,Retry Consensus separately; retain this primary-web audit as provenance.
N002,2026-07-23,binary MEA–H2O VLE,Cai 1996; Park and Lee 1997; Kim 2008; Park 2009; ethanolamine water VLE tables,"Publisher pages, DOI indexes, browser-rendered mirrors",Four primary papers with readable tables located; 166 binary rows transcribed.,S001–S004,"Exact publisher/repository PDF bytes were not locally retrievable, so source hashes remain blank.","Acquire exact files, hash, and visual-check every row."
N003,2026-07-23,binary MEA–H2O VLE,Nath Bender static VLE; Tochigi; Belabbaci; Touhara; Page/Jolicoeur,Publisher metadata and scholarly search,Additional candidates identified.,S005–S009,Primary tables/uncertainties not acquired; some vapor compositions may be inferred and some systems are ternary.,Obtain publisher PDFs/SI; extract only in-system direct measurements.
N004,2026-07-23,CO2–MEA VLE,30 mass % MEA Jou 1995 full table,Publisher/repository PDF rendering,Table 2 located; 124 equilibrium state rows transcribed.,S010,"pCO2 is calibration-derived, not direct; file hash unavailable.",Acquire exact PDF and verify solvent-vapor correction footnotes.
N005,2026-07-23,CO2–MEA VLE,15 30 45 60 mass % MEA Aronu 2011 tables,Publisher/mirror full text,Source and concentration coverage confirmed.,S011,"Table rendering interleaved experimental and extended-UNIQUAC model pCO2, preventing defensible row mapping.",Acquire exact typeset PDF/SI and manually map columns.
N006,2026-07-23,CO2–MEA VLE,Wagner 2013 low high loading MEA tables,Publisher/mirror full text,Tables 3–6 located; 112 rows transcribed.,S012,Exact source bytes/hash unavailable; high-pressure tables provide total P only.,Acquire exact PDF; retain total P as the only high-pressure target.
N007,2026-07-23,CO2–MEA VLE,exact 20 wt% OR 20 mass% MEA equilibrium CO2 partial pressure loading,"Publisher indexes, scholarly search, reference chains",No source-complete exact 20 mass % VLE table acquired.,none,"Nearby concentrations, normalities, speciation, or physical-property data cannot be relabeled as exact 20 mass % VLE.",Author inquiry or new measurement campaign.
N008,2026-07-23,CO2–MEA VLE,Mason Dodge 1936; Atadan 1954; Lee Otto Mather; Lawson Garst,"Historical citation chains, theses/reviews used only for discovery",Historical campaigns identified with broad concentration coverage.,S015–S019,Primary archival scans/tables and uncertainty are missing.,Obtain archival scans and trace duplicate/reprinted rows.
N009,2026-07-23,independent speciation,13C NMR MEA CO2 carbamate bicarbonate carbonate MEAH; online NMR,Publisher indexes and primary full text,"Jakobsen, Böttinger, Yamada, Ciftja identified.","S021–S023, S030",Only one aggregate figure-level row extracted; MEA/MEAH and HCO3/CO3 often unresolved.,Acquire exact tables/SI and standards; retain aggregates.
N010,2026-07-23,independent speciation,Matin facile amine speciation SI Table S1 S2,ACS Figshare/SI metadata and main paper,SI filename and DOI identified.,S024,SI bytes/table could not be retrieved; individual amine species are balance-inferred.,Retrieve SI directly and extract direct TIC/alkalinity separately from inferred species.
