coverage_id,data_family,required_observable,target_species,parameter_family,candidate_sources,extracted_row_count,directness_status,domain_covered,source_complete_status,training_recommendation,validation_recommendation,leakage_risk,remaining_gap,priority
C01,1 Binary MEA–H2O VLE,isobaric/isothermal T–P–x–y,"MEA, H2O","neutral MEA/H2O segment, association, and binary interaction",S001–S007,166,166 direct rows extracted; additional candidates unresolved,"66.66, 70.0, 50.0, atmospheric, 101.33 kPa; nominal 40–100 °C isotherms; broad composition",none source-complete: exact source-file SHA-256 absent,"After hash/visual verification, train by whole source/pressure/sequence blocks.",Hold out one entire apparatus/source; preferably Park 2009 or Cai pressure series.,"Shared still, RI/GC calibration, repeated sequences; fitted γ-model outputs in same papers.",Exact publisher PDFs/hashes; other isotherms; clean verification of S003 OCR-suspect row.,high
C02,2 CO2–MEA VLE,low-loading pCO2 vs composition/loading,CO2 + aggregate liquid,reactive equilibrium constants; CO2/neutral interactions,"S010–S014, S016",182,direct/calibration-derived aggregate equilibrium; no species resolution,30 mass %: 0–150 °C over very low to 20 MPa-equivalent pCO2; nominal 15/30 mass % at ~313–393 K,none source-complete: exact source-file SHA-256 absent,Use only exact measured/calibration-derived columns after source verification.,Hold out full temperature/concentration/source campaigns.,Loading and pressure share equilibrium run; pCO2 corrections/calibrations; model columns adjacent.,Exact 20 mass % VLE absent; 45/60 mass % Aronu rows not safely mapped.,critical
C03,2 CO2–MEA VLE,high-loading total pressure,CO2 + aggregate liquid,reactive equilibrium and high-pressure physical interactions,"S010, S011, S012",54,Wagner high-pressure total P direct; Jou total P direct; pCO2 may be calibration-derived,nominal 15/30 mass %; 313–393 K; ~0.45–8.74 MPa (Wagner),none source-complete: exact source-file SHA-256 absent,Fit total-pressure observable directly; do not reconstruct pCO2.,Hold out Table 3 or 4 / a full concentration campaign.,High-pressure solvent-vapor correction would introduce model circularity.,45/60 mass % high-loading rows need clean Aronu extraction; exact source hashes.,critical
C04,2 CO2–MEA VLE,15 mass % campaign,CO2 + aggregate liquid,concentration dependence of reactive equilibrium,"S011, S012",56,Wagner direct/calibration-derived rows extracted; Aronu candidate,"nominal 15 mass % at ~313, 353, 393 K; low and high loading",none source-complete: exact source-file SHA-256 absent,Use exact molalities as printed; nominal mass fraction only as campaign metadata.,Hold out full 15 mass % campaign or source.,No silent molality↔mass fraction/loading conversion.,Exact file/hash; independently replicated 15 mass % dataset.,high
C05,2 CO2–MEA VLE,20 mass % campaign,CO2 + aggregate liquid,concentration dependence of reactive equilibrium,S064,0,not found,none,none source-complete: exact source-file SHA-256 absent,No training data.,Commission/source an exact 20 mass % campaign.,Nearby 20 wt% speciation or 21/23 wt% VLE cannot be relabeled.,No source-complete exact 20 mass % VLE dataset found.,critical
C06,2 CO2–MEA VLE,30 mass % campaign,CO2 + aggregate liquid,concentration dependence of reactive equilibrium,S010–S013,180,substantial direct/calibration-derived aggregate data,0–150 °C; very low to high pressure/loading; Wagner nominal 30 mass %,none source-complete: exact source-file SHA-256 absent,Use source-grouped campaign split.,Hold out Jou or Wagner as an external source.,"Shared stock solutions, duplicate loading assays, model columns.",Exact file hashes; cross-lab consistency; direct high-P gas composition.,high
C07,2 CO2–MEA VLE,45 mass % campaign,CO2 + aggregate liquid,concentration dependence of reactive equilibrium,"S011, S019",0,candidate only,Aronu 40–120 °C; Atadan historical 30/50/70 °C (metadata-level),none source-complete: exact source-file SHA-256 absent,None until primary rows disentangled.,Whole 45 mass % campaign is a priority validation set.,Aronu experimental/model columns interleaved; historical rebasing risk.,Source-complete 45 mass % rows and uncertainty.,critical
C08,2 CO2–MEA VLE,60 mass % campaign,CO2 + aggregate liquid,concentration dependence of reactive equilibrium,"S011, S018, S019",0,candidate only; 59/60/56/74 mass % must remain distinct,Aronu exact 60 mass %; historical nearby concentrations,none source-complete: exact source-file SHA-256 absent,None until exact rows acquired.,Whole exact-60 mass % campaign.,Relabeling 59 or 56 mass % as 60 mass %.,Source-complete exact 60 mass % rows and uncertainty.,critical
C09,3 Independent speciation,separate free MEA and MEAH+,"MEA, MEAH+",amine protonation/speciation,S021–S030,0,not demonstrated; major NMR sources report only the sum,20/30 mass % candidates; ~20–80 °C/loading series,none source-complete: exact source-file SHA-256 absent,No individual-species training target.,Validate only aggregate MEA+MEAH+ until a resolving method exists.,Fast proton exchange; balance inference; calibration circularity.,Independent method that truly separates MEA and MEAH+ with uncertainty.,critical
C10,3 Independent speciation,direct MEACOO−,MEACOO−,carbamate reaction equilibrium,S021–S029,1,one aggregate figure-level carbamate-yield row; direct NMR candidates unresolved,"30 mass % at 30 °C, saturation (Yamada); broader Böttinger/Jakobsen candidates",none source-complete: exact source-file SHA-256 absent,Do not train on the single figure datum; await tables.,Use independent NMR campaign held out by source.,Spectral calibration and carbon-balance covariance.,Primary numerical NMR/Raman rows with standards and covariance.,critical
C11,3 Independent speciation,separate HCO3− and CO3^2−,"HCO3−, CO3^2−",carbonate equilibria,S021–S030,0,not demonstrated in extracted data; often reported as sum,candidate loaded MEA ranges,none source-complete: exact source-file SHA-256 absent,No separate targets.,Aggregate model outputs to source resolution.,Model-predicted split used as calibration label.,Direct independent split across loading/T.,critical
C12,3 Independent speciation,dissolved molecular CO2,CO2(aq),physical solubility and hydration equilibrium,S022,0,candidate direct NMR; no rows acquired,20 mass %; 293–353 K; up to 25 bar,none source-complete: exact source-file SHA-256 absent,Await primary table.,Hold out whole online-NMR campaign.,Peak assignment and pressure/loading coupling.,Source-complete molecular-CO2 rows.,high
