rejection_id,source_id_or_candidate,locator_or_quantity,reason_category,reason_detail,permitted_use,status
J001,S001,Tables 2–3 UNIFAC ΔT and Δy columns,model-derived,"Residuals are predictions/errors from a model, not measurements.",Audit model reproduction only.,rejected
J002,S002,Wilson/NRTL/UNIQUAC parameters and calculated quantities,fitted,Parameters were regressed from the same VLE data.,Literature comparison only.,rejected
J003,S003,"Calculated activity coefficients, Antoine/NRTL/Wilson parameters, fitted excess-enthalpy expressions",fitted/model-derived,Not independent experimental targets.,Literature comparison only.,rejected
J004,S003,Transcribed T = 59.11 °C row,provenance uncertainty,Value is OCR-suspect; it is retained verbatim but quarantined until exact PDF visual verification.,Source verification only.,quarantined
J005,S004,Calculated activity coefficients/correlation parameters,fitted,Derived from the measured Txy data.,Literature comparison only.,rejected
J006,S005,Calculated vapor compositions/activities from static total-pressure measurements,model-derived,Only total pressure is directly measured unless vapor is sampled.,Measured P–T–x rows only after primary extraction.,rejected
J007,S006,DMSO-containing ternary rows,off-system,DMSO is outside the target system.,None; only a true binary edge may be eligible.,rejected
J008,S007,Any fitted VLE correlation columns,fitted/model-derived,Cannot serve as measurements.,None.,rejected
J009,S010,pCO2 treated as direct sensor measurement,misclassification,Source obtains pCO2 after solvent-vapor correction and gas composition measurement.,Use only as calibration-derived pCO2.,rejected
J010,S010,GC and BaCO3 loading values treated as independent equilibrium rows,pseudo-replication,They are paired determinations at the same state.,Retain in one row or model their measurement covariance.,rejected
J011,S011,Extended-UNIQUAC pCO2 columns; modeled speciation; modeled heat curves,model-derived,Adjacent model outputs are not raw measurements.,None.,rejected
J012,S012,High-pressure pCO2 reconstructed by subtracting modeled water/MEA vapor pressure,model-derived,Tables 3–4 directly report total pressure only.,Use total pressure as the target.,rejected
J013,S020,Flow-through pCO2 without demonstrated equilibrium,equilibrium not established,Slow CO2–MEA reaction can leave process measurements out of equilibrium.,None unless equilibration is proven.,rejected
J014,S022,MEA and MEAH+ treated as separately observed,unresolved aggregate,Fast proton exchange yields only a combined amine signal.,Compare only to model-predicted sum.,rejected
J015,S022,2-oxazolidone omitted from carbon/amine balance,silent byproduct omission,The byproduct was observed and quantified.,Keep as separate species/measurement.,rejected
J016,S023,Separate validation of MEA vs MEAH+ or HCO3− vs CO3^2−,unresolved aggregate,NMR reports combined groups.,Aggregate model outputs before comparison.,rejected
J017,S024,"MEAH+, MEACOO−, and free MEA from balances treated as direct species measurements",balance-inferred,These quantities are reconstructed from TIC/alkalinity/bicarbonate balances.,Use only with classification and circularity warning.,rejected
J018,S024,CO3^2− silently included in bicarbonate,basis/species conflation,Carbonate was not independently measured.,Retain as unresolved/omitted according to source method.,rejected
J019,S025/S026/S027/S028/S029,Spectroscopic PLS/calibration predictions without independent standards and covariance,calibration-derived,Spectral-model outputs are not direct concentrations absent traceable calibration.,Qualitative mechanism or calibrated validation only.,rejected
J020,S031,Fitted low-frequency dielectric limit treated as a directly measured DC point,fitted dispersion,εs comes from broadband model fitting and shares covariance with relaxation parameters.,Use only as fitted dispersion limit with covariance.,rejected
