source_key,paper_title,authors,year,DOI,data_family,property,temperature_range_K,pressure_range,MEA_concentration_range,CO2_loading_range,status,repo_path,extraction_needed,target_csv_path,fit_or_validation_role,notes
Baygi2015,Application of the PC-SAFT Equation of State for Modeling CO2 Solubility in Aqueous Monoethanolamine Solutions,"Baygi, Sadjad; Pahlavanzadeh, Hassan",2015.0,10.1016/j.cherd.2014.07.017,model_reference,"MEA association-scheme screening, MEA-H2O binary k_ij screening, Smith-Missen baseline framing",303.15-443.15 for reported pure-parameter screening; ternary comparisons span the cited literature data,see cited literature VLE tables,30 wt% MEA central baseline with broader literature comparisons,30 wt% MEA pressure/speciation comparisons, present_md_needs_extraction,docs/papers/md/Baygi and Pahlavanzadeh - 2015 - Application of the PC-SAFT equation of state for modeling CO2 solub.md,no,analyses/phase1/smith_missen_baseline/results/phase1_parameter_table.csv,phase1_model_reference,Primary literature anchor for the historical Smith-Missen-style MEA baseline and the selected 3B/4C association-scheme choice.
Nasrifar2010,Vapor-Liquid Equilibria of Acid Gas-Aqueous Ethanolamine Solutions Using the PC-SAFT Equation of State,"Nasrifar, Khashayar; Tafazzol, Amir H.",2010.0,10.1021/ie901181n,model_reference,Pure-component MEA PC-SAFT basis and apparent/neutral VLE framing,pure and mixture temperatures reported in the article,acid-gas VLE conditions across the cited systems,"MEA, DEA, and MDEA aqueous systems",various acid-gas loadings, present_md_needs_extraction,docs/papers/md/Nasrifar and Tafazzol - 2010 - Vapor-liquid equilibria of acid gas-aqueous ethanolamine solutions us.md,no,data/reference/MEA/manifests/phase1_parameter_provenance.csv,phase1_model_reference,Used to document the older apparent/neutral PC-SAFT workflow that preceded the activity-based ePC-SAFT lane.
Najafloo2018,Modeling solubility of CO2 in aqueous monoethanolamine (MEA) solution using SAFT-HR equation of state,"Najafloo, Azam; Zarei, Samane",2018.0,,model_reference,SAFT-HR apparent-speciation baseline and pressure-comparison benchmark,see article metadata in repo-local markdown,ternary CO2-MEA-H2O solubility comparisons,30 wt% MEA central baseline,reported pressure/loading data ranges in the article, present_md_needs_extraction,docs/papers/md/Najafloo and Zarei - 2018 - Modeling solubility of CO2 in aqueous monoethanolamine (MEA) solution us.md,no,data/reference/MEA/manifests/phase1_data_inventory.csv,phase1_model_reference,Repo-local markdown verifies the Smith-Missen algorithm and the ideal activity assumption; no local DOI was captured in the current manuscript BibTeX export.
Jou1995,The Solubility of CO2 in a 30 Mass Percent Monoethanolamine Solution,"Jou, Fang-Yuan-Y; Mather, Alan E.; Otto, Frederick D.",1995.0,10.1002/cjce.5450730116,VLE_validation,CO2 partial pressure vs loading baseline,273.15-423.15,0.001-20000 kPa CO2 partial pressure,30 wt% MEA,measured loading range in data/reference/MEA/observations/vapor_liquid_equilibrium/Jou_1995_VLE.csv,present_machine_readable,data/reference/MEA/observations/vapor_liquid_equilibrium/Jou_1995_VLE.csv,no,analyses/phase1/smith_missen_baseline/results/phase1_pressure_results.csv,phase1_pressure_validation,Primary machine-readable pressure baseline used by the retained Smith-Missen reproduction workflow.
Jakobsen2005,Liquid-phase composition determination in CO2-H2O-alkanolamine systems: an NMR study,"Jakobsen, J.P.; Krane, J.; Svendsen, H.F.",2005.0,10.1021/ie048813+,speciation_validation,15 and 30 wt% MEA true-species liquid composition,293.15 and 313.15,liquid-phase composition study under NMR conditions,15 wt% and 30 wt% MEA in the local extracted CSVs,0.11-1.08 in the local extracted 30 wt% rows,present_machine_readable,data/reference/MEA/observations/liquid_speciation/Jakobsen_2005_ChEq.csv,no,analyses/phase1/smith_missen_baseline/results/phase1_speciation_results.csv,phase1_speciation_validation,Primary machine-readable speciation anchor for the Smith-Missen baseline at 20 C and 40 C; Combined_ChEq.csv carries the 30 wt% subset.
Bottinger2008,Online NMR Spectroscopic Study of Species Distribution in MEA-H2O-CO2 and DEA-H2O-CO2,"Böttinger, Wolfram; Maiwald, Michael; Hasse, Hans",2008.0,10.1016/j.fluid.2007.09.017,speciation_validation,True-species liquid composition at loaded MEA conditions,293-353 K,up to 25 bar in the reported NMR apparatus,20 and 30 wt% MEA in the reported article,up to about 1.1 mol CO2/mol amine per article abstract,present_machine_readable,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,no,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,phase1_supporting_speciation_validation,Supporting speciation source; useful for continuity checks but not required to make the canonical 30 wt% Phase 1 figure.
Matin2012,Facile Method for Determination of Amine Speciation in CO2 Capture Solutions,"Matin, Naser S.; Remias, Joseph E.; Neathery, James K.; Liu, Kunlei",2012.0,10.1021/ie300230k,speciation_validation,30 wt% MEA true-species liquid composition at ambient conditions,ambient temperature in the article,atmospheric pressure in the article,30 wt% MEA,reported loading range in local extracted rows,present_machine_readable,data/reference/MEA/observations/liquid_speciation/Matin_2012_ChEq.csv,no,data/reference/MEA/observations/liquid_speciation/Matin_2012_ChEq.csv,phase1_supporting_speciation_validation,Supporting speciation source used in later ionic fitting; retained here as part of the Phase 1 provenance inventory.
Wong2015,Chemical Speciation of CO2 Absorption in Aqueous Monoethanolamine Investigated by in Situ Raman Spectroscopy,"Wong, M. K.; Bustam, M. A.; Shariff, A. M.",2015.0,10.1016/j.ijggc.2015.05.016,missing_data_status,High-pressure loaded-MEA speciation,303.15-323.15,1-60 bar,30 wt% MEA,pressure-dependent loaded speciation,figure_digitized_needs_review,docs/papers/md/Wong et al. - 2015 - Chemical speciation of CO2 absorption in aqueous monoethanolamine investigated by in situ Raman spec.md,review,data/reference/MEA/observations/liquid_speciation/Wong_2015_Raman_speciation.csv,later_phase_validation,Fig. 8 species-vs-loading rows are digitized in Wong_2015_Raman_speciation.csv with QA overlay; overlap-sensitive rows are flagged ambiguous and should be filtered unless reviewed.
Amundsen2009,Density and Viscosity of Monoethanolamine + Water + Carbon Dioxide from (25 to 80) C,"Amundsen, Trine G.; Oi, Lars E.; Eimer, Dag A.",2009.0,10.1021/je900188m,missing_data_status,Loaded-MEA density and viscosity,298.15-353.15,liquid property measurements at reported loadings,20-40 wt% MEA,0-0.5 mol CO2/mol MEA,expected_md_needs_extraction,docs/papers/md/Amundsen et al. - 2009 - Density and viscosity of monoethanolamine + water + carbon dioxide from (25 to 80) °C.md,yes,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,later_phase_validation,"Unloaded and correlation metadata are staged locally, but the full loaded property extraction is not needed to complete the current Phase 1 baseline."
MEA_H2O_dielectric,Direct MEA-H2O dielectric table not yet extracted,,,dielectric_gap,MEA-H2O relative permittivity,unknown,unknown,MEA-H2O mixtures,unknown,missing_required,data/reference/MEA/observations/dielectric/README.md,yes,data/reference/MEA/observations/dielectric/MEA_H2O_dielectric_values.csv,phase2_dependency,The repo only has literature leads at present; no direct machine-readable MEA-H2O dielectric table is promoted.,
loaded_MEA_pH,Loaded-MEA pH or electrochemical anchor not yet extracted,,,pH_gap,Loaded-MEA pH or electrochemical anchor,unknown,unknown,loaded MEA solutions,unknown,missing_optional,data/reference/MEA/observations/ph/README.md,yes,data/reference/MEA/observations/ph/loaded_mea_pH_validation.csv,later_phase_optional_validation,This gap does not block the Phase 1 Smith-Missen baseline.,
direct_ionic_activity,Direct MEAH+ or carbamate-salt osmotic/activity anchor not yet extracted,,,ionic_activity_gap,Direct ionic activity or osmotic anchor,unknown,unknown,MEA-related electrolyte solutions,unknown,missing_optional,data/reference/MEA/observations/ionic_activity/README.md,yes,data/reference/MEA/observations/ionic_activity/direct_ionic_activity_validation.csv,later_phase_optional_validation,This gap does not block the Phase 1 Smith-Missen baseline and should not be backfilled with unrelated counterion systems.,
Fan2009,NMR Studies of Amine Species in MEA-CO2-H2O System: Modification of the Model of Vapor-Liquid Equilibrium (VLE),"Fan, Gao-jun; Wee, Andrew G. H.; Idem, Raphael; Tontiwachwuthikul, Paitoon",2009.0,10.1021/ie8015895,missing_data_status,"NMR MEA, MEAH+, and carbamate speciation as a function of CO2 loading",unknown until full-text check,unknown until full-text check,aqueous MEA; concentration requires full-text check,different CO2 loadings; exact range requires full-text check,external_source_pending,external DOI 10.1021/ie8015895; HERO https://hero.epa.gov/reference/7449893/,yes,data/reference/MEA/observations/liquid_speciation/Fan_2009_NMR_speciation.csv,later_phase_validation,"HERO abstract confirms NMR speciation and carbamate/free-MEA/MEAH+ quantification, but no local full text or table was available in this pass."
DuPreez2019,Determining the Liquid Phase Equilibrium Speciation of the CO2-MEA-H2O System Using a Simplified in Situ Fourier Transform Infrared Method,"du Preez, Louis J.; Motang, Neo; Callanan, Linda H.; Burger, Andries J.",2019.0,10.1021/acs.iecr.8b04437,missing_data_status,ATR-FTIR liquid-phase equilibrium speciation for CO2-MEA-H2O,293.15-303.15 candidate range; confirm in full text,1 atm candidate condition; confirm in full text,aqueous MEA; concentration requires full-text check,0-0.6 mol CO2/mol MEA candidate range; confirm in full text,external_source_pending,external DOI 10.1021/acs.iecr.8b04437; ACS https://pubs.acs.org/doi/10.1021/acs.iecr.8b04437,yes,data/reference/MEA/observations/liquid_speciation/DuPreez_2019_FTIR_speciation.csv,later_phase_validation,"Search/ACS metadata identify this as a strong FTIR speciation candidate, but ACS PDF/SI access was blocked in this environment and no Zotero item exists locally."
