priority,blocker,impact,closure_action
1,"No direct MEAH+/MEACOO− mean activity, osmotic, EMF, or target-ion activity-coefficient dataset was located.",Ionic interaction parameters are not independently identifiable; reactive VLE alone can absorb errors into equilibrium constants and dielectric terms.,Search theses/patents/electrochemistry literature for MEA carbamate salts; otherwise define this as an unvalidated model assumption and use sensitivity bounds.
2,No source-complete static/zero-frequency dielectric dataset for CO2-loaded aqueous MEA was qualified.,Born-term composition/loading dependence is unconstrained.,"Acquire Hajj et al. full paper and any broadband loaded-MEA studies; require dispersion model, conductivity, T, loading and uncertainty. Finite-frequency values cannot substitute silently."
3,"No qualified equilibrium pH matrix versus T, MEA concentration, loading and pressure was found.",Protonation/carbonate equilibria lack independent electrochemical validation.,"Locate equilibrium-cell pH studies with traceable buffer calibration and declared scale, or commission measurements."
4,Independent NMR resolves MEACOO− but commonly aggregates MEA+MEAH+ and HCO3−+CO3²−.,Protonation and carbonate sub-equilibria remain correlated.,Acquire Böttinger full dataset and complementary Raman/IR/titration; preserve aggregates and byproducts.
5,The 20 mass% CO2–MEA VLE coverage is indexed to Robinson (1993) but the primary source file/table was not recovered.,Requested 15/20/30/45/60 mass% concentration ladder is incomplete at 20 mass%.,Locate Robinson thesis/report or an independent 20 mass% source and capture raw tables/uncertainty.
6,Many historical low/high-pressure VLE sources are indexed only through Hilliard; primary scans and original uncertainty/basis remain unavailable.,"Cannot audit corrections, pressure definitions, loading analyses or duplicates.",Retrieve primary scans through library/interlibrary loan; never regress Hilliard’s recompiled points as if source-complete.
7,Source-complete differential/integral heat-of-absorption tables and binary excess enthalpy tables were not all acquired.,Caloric parameters may fit Cp while missing reaction enthalpy or mixing enthalpy.,"Acquire Kim & Svendsen 2007, Kim et al. 2014, Mathonat 1998, Touhara 1982 and Maham et al.; preserve definitions/signs."
8,"Pure MEA density, vapor-pressure and heat-capacity primary tables are only partially source-complete in the local corpus.",Neutral pure-component parameter qualification remains dependent on Kim ThermoML and later compilations.,Acquire Matthews 1950 and Chiu 1999 and a primary pure-density source; hold pure-property data outside reactive regression until neutral parameters pass.
9,Böttinger full article/source tables were not locally acquired; only bibliographic/method evidence was qualified.,Independent byproduct-sensitive speciation validation is unavailable.,Obtain full article and digitize measured points including 2-oxazolidone.
10,Automated table extractions for Aronu and Agieienko need double-entry/header verification before numerical regression.,Merged table headers can create column misassignment even when numeric cells are correct.,Compare raw table CSVs against page images and sign an extraction QA record; model columns remain excluded.
